TOA5,CR1000,CR1000,53634,CR1000.Std.25,CPU:OXYGEN-SENSOR_4sensors_fieldedit.CR1,7126,Oxygen,,,,
TIMESTAMP,RECORD,BattV_Min,PanelT,O21_Avg,O22_Avg,O23_Avg,O24_Avg,SensorTC1_Avg,SensorTC2_Avg,SensorTC3_Avg,SensorTC4_Avg
TS,RN,,,,,,,,,,
,,Min,Smp,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
9/28/2016 12:42,0,12.28596,25.94501,48.45445,47.94333,47.77296,50.80562,25.19684,25.53531,25.35034,25.19684
9/28/2016 12:43,1,12.28596,26.00601,48.28329,47.70403,47.77217,50.80479,25.19684,25.60489,25.3811,25.22751
9/28/2016 12:44,2,11.70144,26.03764,48.07821,47.63525,47.77155,50.83819,25.19684,25.62039,25.4119,25.25818
9/28/2016 12:45,3,12.02432,26.03764,47.94141,47.63475,47.77105,50.80359,25.21216,25.59714,25.44272,25.31958
9/28/2016 12:46,4,12.02432,26.03764,47.83879,47.63435,47.77064,50.83723,25.22751,25.56622,25.47357,25.35034
9/28/2016 12:47,5,12.07999,26.03764,47.66973,47.63565,47.80602,50.80455,25.22751,25.56622,25.50443,25.38879
9/28/2016 12:48,6,12.10782,26.00601,47.53285,47.63507,47.77136,50.838,25.22751,25.53531,25.53531,25.44272
9/28/2016 12:49,7,12.01318,25.97664,47.36267,47.63526,47.29452,50.8382,25.22751,25.52759,25.56622,25.47357
9/28/2016 12:50,8,12.01318,25.97664,47.22587,47.63475,46.91921,50.83767,25.22751,25.50443,25.56622,25.50443
9/28/2016 12:51,9,12.28596,25.97664,47.08983,47.63501,46.68095,50.83794,25.22751,25.50443,25.56622,25.53531
